accession_number,filing_date,report_date,form,primary_document,description,filing_url
0000950138-09-000092,2009-02-09,2009-02-05,4,xslF345X03/feb9_rosen-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 ROSEN-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000092/xslF345X03/feb9_rosen-4ex.xml
0000950138-09-000091,2009-02-09,2009-02-05,4,xslF345X03/feb9_raines-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 RAINES-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000091/xslF345X03/feb9_raines-4ex.xml
0000950138-09-000090,2009-02-09,2009-02-05,4,xslF345X03/feb9_lloyd-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 LLOYD-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000090/xslF345X03/feb9_lloyd-4ex.xml
0000950138-09-000089,2009-02-09,2009-02-05,4,xslF345X03/feb9_lriggio-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 L RIGGIO-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000089/xslF345X03/feb9_lriggio-4ex.xml
0000950138-09-000088,2009-02-09,2009-02-05,4,xslF345X03/feb9_koonin-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 KOONIN-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000088/xslF345X03/feb9_koonin-4ex.xml
0000950138-09-000087,2009-02-09,2009-02-05,4,xslF345X03/feb9_fontaine-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 FONTAINE-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000087/xslF345X03/feb9_fontaine-4ex.xml
0000950138-09-000086,2009-02-09,2009-02-05,4,xslF345X03/feb9_dematteo-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 DEMATTEO-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000086/xslF345X03/feb9_dematteo-4ex.xml
0000950138-09-000085,2009-02-09,2009-02-05,4,xslF345X03/feb9_davis-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 DAVIS-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000085/xslF345X03/feb9_davis-4ex.xml
0000950138-09-000084,2009-02-09,2009-02-05,4,xslF345X03/feb9_carlson-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 CARLSON-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000084/xslF345X03/feb9_carlson-4ex.xml
0000950138-09-000083,2009-02-09,2009-02-05,4,xslF345X03/feb9_bartel-4ex.xml,GAMESTOP\2009\FEB 9 4S\FEB 9 BARTEL-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000083/xslF345X03/feb9_bartel-4ex.xml
0000950138-09-000104,2009-02-11,2009-02-09,4,xslF345X03/feb11_lloyd-4ex.xml,GAMESTOP\2009\FEB 11 FORMS 4\FEB 11 LLOYD-4\,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000104/xslF345X03/feb11_lloyd-4ex.xml
0000950138-09-000103,2009-02-11,2009-02-09,4,xslF345X03/feb11_fontaine-4ex.xml,GAMESTOP\2009\FEB 11 FORMS 4\FEB 11 FONTAINE-4\,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000103/xslF345X03/feb11_fontaine-4ex.xml
0000950138-09-000102,2009-02-11,2009-02-09,4,xslF345X03/feb11_dematteo-4ex.xml,\GAMESTOP\2009\FEB 11 FORMS 4\FEB 11 DEMATTEO-4\,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000102/xslF345X03/feb11_dematteo-4ex.xml
0000950138-09-000101,2009-02-11,2009-02-09,4,xslF345X03/feb11_bartel-4ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000101/xslF345X03/feb11_bartel-4ex.xml
0001157523-09-001150,2009-02-11,2009-02-05,8-K,a5894263.txt,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752309001150/a5894263.txt
0000052388-09-000038,2009-02-13,,SC 13G/A,sc13g-exit.htm,SCHEDULE 13G/A (AMENDMENT NO. 2),https://www.sec.gov/Archives/edgar/data/1326380/000005238809000038/sc13g-exit.htm
0000950138-09-000131,2009-02-17,2009-02-09,4/A,xslF345X03/feb17_dematteo-4aex.xml,GAMESTOP\2009 FILINGS\FEB 17 DEMATTEO-4A\,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000131/xslF345X03/feb17_dematteo-4aex.xml
0000315066-09-001734,2009-02-17,,SC 13G/A,filing.txt,DOC ONE,https://www.sec.gov/Archives/edgar/data/1326380/000031506609001734/filing.txt
0001157523-09-001483,2009-02-23,2009-02-19,8-K,a5902122.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752309001483/a5902122.htm
0001157523-09-002365,2009-03-27,2009-03-26,8-K,a5925898.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752309002365/a5925898.htm
0000950138-09-000263,2009-04-01,2009-03-31,4,xslF345X03/apr1_zilavy-4ex.xml,GAMESTOP\2009 FILINGS\APR 1 ZILAVY-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000263/xslF345X03/apr1_zilavy-4ex.xml
0000950138-09-000262,2009-04-01,2009-03-30,4,xslF345X03/apr1_shern-4ex.xml,GAMESTOP\2009 FILINGS\APR 1 SHERN-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000262/xslF345X03/apr1_shern-4ex.xml
0000950134-09-006730,2009-04-01,2009-01-31,10-K,d66430e10vk.htm,FORM 10-K,https://www.sec.gov/Archives/edgar/data/1326380/000095013409006730/d66430e10vk.htm
0000950138-09-000287,2009-04-06,2009-04-03,4,xslF345X03/apr6_volkwein-4ex.xml,GAMESTOP\2009 FILINGS\APR 6 VOLKWEIN-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000287/xslF345X03/apr6_volkwein-4ex.xml
0001157523-09-004051,2009-05-21,2009-05-21,8-K,a5970322.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752309004051/a5970322.htm
0000950134-09-011302,2009-05-22,2009-06-23,DEF 14A,d67672def14a.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/1326380/000095013409011302/d67672def14a.htm
0000950138-09-000370,2009-05-27,2009-05-27,4,xslF345X03/form4_052709ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000370/xslF345X03/form4_052709ex.xml
0000950138-09-000374,2009-06-02,2009-06-02,4,xslF345X03/june2_carlson-4ex.xml,GAMESTOP\2009 FILINGS\JUNE 2 CARLSON-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000374/xslF345X03/june2_carlson-4ex.xml
0000950123-09-013296,2009-06-11,2009-05-02,10-Q,d68027e10vq.htm,FORM 10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012309013296/d68027e10vq.htm
0001157523-09-006102,2009-08-20,2009-08-20,8-K,a6033151.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752309006102/a6033151.htm
0000950138-09-000542,2009-08-25,2009-08-25,8-K,august_8-k.htm,GAMESTOP\2009 FILINGS\AUGUST 8-K\,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000542/august_8-k.htm
0000950138-09-000557,2009-08-26,2009-08-24,3,xslF345X02/aug25_smith-3ex.xml,GAMESTOP\2009 FILINGS\AUG 25 SMITH-3,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000557/xslF345X02/aug25_smith-3ex.xml
0000000000-09-049419,2009-09-04,,UPLOAD,filename1.pdf,,https://www.sec.gov/Archives/edgar/data/1326380/000000000009049419/filename1.pdf
0000950123-09-042090,2009-09-09,2009-08-01,10-Q,d68990e10vq.htm,FORM 10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012309042090/d68990e10vq.htm
0000950138-09-000601,2009-09-10,2009-09-08,4,xslF345X03/sept10_raines-4ex.xml,GAMESTOP\2009 FILINGS\SEPT 10 RAINES-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000601/xslF345X03/sept10_raines-4ex.xml
0000950123-09-047091,2009-09-29,,CORRESP,filename1.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095012309047091/filename1.htm
0000950138-09-000664,2009-10-08,2009-10-06,4,xslF345X03/oct8_lriggio-4ex.xml,GAMESTOP\2009 FILINGS\OCT 8 L RIGGIO-4,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000664/xslF345X03/oct8_lriggio-4ex.xml
0000950138-09-000667,2009-10-09,,SC 13D/A,oct9_13da-lriggio.htm,GAMESTOP\2009 FILINGS\OCT 9 13DA L RIGGIO,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000667/oct9_13da-lriggio.htm
0000000000-09-063296,2009-11-09,,UPLOAD,filename1.pdf,,https://www.sec.gov/Archives/edgar/data/1326380/000000000009063296/filename1.pdf
0001157523-09-008187,2009-11-19,2009-11-19,8-K,a6104727.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752309008187/a6104727.htm
0000950138-09-000790,2009-11-25,2009-11-24,4,xslF345X03/nov25_davis-4ex.xml,\GAMESTOP\2009\NOV 25 DAVIS-4\,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000790/xslF345X03/nov25_davis-4ex.xml
0000950123-09-069549,2009-12-09,2009-10-31,10-Q,d69085e10vq.htm,FORM 10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012309069549/d69085e10vq.htm
0000950138-10-000010,2010-01-13,2010-01-12,8-K,jan12_8-k.htm,GAMESTOP\2010 FILINGS\JAN12 8-K\,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000010/jan12_8-k.htm
0000950138-10-000012,2010-01-14,2010-01-07,3,xslF345X02/jan13_mauler-3ex.xml,GAMESTOP\2010 FILINGS\JAN 13 MAULER-3\,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000012/xslF345X02/jan13_mauler-3ex.xml
0001086364-10-008247,2010-01-29,,SC 13G,gamestop123109.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000108636410008247/gamestop123109.txt
0000950138-10-000032,2010-02-04,,S-8,feb4s-8.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000032/feb4s-8.htm
0000950138-10-000081,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000081/xslF345X03/edgar.xml
0000950138-10-000080,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000080/xslF345X03/edgar.xml
0000950138-10-000079,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000079/xslF345X03/edgar.xml
0000950138-10-000078,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000078/xslF345X03/edgar.xml
0000950138-10-000077,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000077/xslF345X03/edgar.xml
0000950138-10-000076,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000076/xslF345X03/edgar.xml
0000950138-10-000075,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000075/xslF345X03/edgar.xml
0000950138-10-000074,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000074/xslF345X03/edgar.xml
0000950138-10-000073,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000073/xslF345X03/edgar.xml
0000950138-10-000072,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000072/xslF345X03/edgar.xml
0000950138-10-000071,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000071/xslF345X03/edgar.xml
0000950138-10-000070,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000070/xslF345X03/edgar.xml
0000950138-10-000069,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000069/xslF345X03/edgar.xml
0000950138-10-000068,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000068/xslF345X03/edgar.xml
0000950138-10-000067,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000067/xslF345X03/edgar.xml
0000950138-10-000066,2010-02-08,2010-02-04,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000066/xslF345X03/edgar.xml
0000950138-10-000091,2010-02-10,2010-02-10,8-K,feb10_8-k.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000091/feb10_8-k.htm
0000950138-10-000106,2010-02-11,2010-02-09,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000106/xslF345X03/edgar.xml
0000950138-10-000105,2010-02-11,2010-02-09,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000105/xslF345X03/edgar.xml
0000950138-10-000104,2010-02-11,2010-02-09,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000104/xslF345X03/edgar.xml
0000950138-10-000103,2010-02-11,2010-02-09,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000103/xslF345X03/edgar.xml
0000950138-10-000102,2010-02-11,2010-02-09,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000102/xslF345X03/edgar.xml
0000950138-10-000121,2010-02-19,2010-02-17,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000121/xslF345X03/edgar.xml
0000950138-10-000131,2010-02-24,2010-02-24,8-K,feb24-8k.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000131/feb24-8k.htm
0001157523-10-001638,2010-03-18,2010-03-18,8-K,a6218941.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752310001638/a6218941.htm
0000950123-10-030164,2010-03-30,2010-01-30,10-K,d70778e10vk.htm,FORM 10-K,https://www.sec.gov/Archives/edgar/data/1326380/000095012310030164/d70778e10vk.htm
0000950138-10-000269,2010-04-09,2010-04-09,8-K,apr9_8-k.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000269/apr9_8-k.htm
0000950138-10-000283,2010-04-20,2010-02-04,4/A,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000283/xslF345X03/edgar.xml
0000950138-10-000282,2010-04-20,2010-01-30,5,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000282/xslF345X03/edgar.xml
0000950123-10-050895,2010-05-18,2010-06-22,DEF 14A,d72450ddef14a.htm,SCHEDULE DEF 14A,https://www.sec.gov/Archives/edgar/data/1326380/000095012310050895/d72450ddef14a.htm
0001157523-10-003300,2010-05-20,2010-05-20,8-K,a6298199.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752310003300/a6298199.htm
0000950138-10-000422,2010-06-02,2010-06-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000422/xslF345X03/edgar.xml
0000950138-10-000420,2010-06-02,2010-06-02,8-K,form8-kofficerchanges610_v3.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000420/form8-kofficerchanges610_v3.htm
0000950123-10-056938,2010-06-09,2010-05-01,10-Q,d73338e10vq.htm,FORM 10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012310056938/d73338e10vq.htm
0000950138-10-000458,2010-06-17,2010-06-17,8-K,jun17_8-k.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000458/jun17_8-k.htm
0000950138-10-000465,2010-06-24,2010-06-14,3,xslF345X02/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000465/xslF345X02/edgar.xml
0001157523-10-003802,2010-06-24,2010-06-22,8-K,a6340108.txt,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752310003802/a6340108.txt
0000950138-10-000502,2010-07-27,2010-07-27,8-K,july27_8-k.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000502/july27_8-k.htm
0001157523-10-005164,2010-08-19,2010-08-19,8-K,a6401786.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752310005164/a6401786.htm
0000950123-10-084627,2010-09-08,2010-07-31,10-Q,d75281e10vq.htm,FORM 10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012310084627/d75281e10vq.htm
0000950138-10-000563,2010-09-10,2010-09-08,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000563/xslF345X03/edgar.xml
0001157523-10-005502,2010-09-15,2010-09-15,8-K,a6431718.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752310005502/a6431718.htm
0000950138-10-000581,2010-09-22,2010-09-22,8-K,knoteredemption_v2.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000581/knoteredemption_v2.htm
0000950138-10-000624,2010-10-13,2010-10-12,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000624/xslF345X03/edgar.xml
0000950138-10-000626,2010-10-15,2010-10-13,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000626/xslF345X03/edgar.xml
0000950138-10-000628,2010-10-18,,SC 13D/A,oct13da-gamestop.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000628/oct13da-gamestop.htm
0000950138-10-000658,2010-10-19,2010-10-18,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000658/xslF345X03/edgar.xml
0000950138-10-000659,2010-10-20,2010-10-20,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000659/xslF345X03/edgar.xml
0000950138-10-000676,2010-10-26,2010-10-25,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000676/xslF345X03/edgar.xml
0001157523-10-006999,2010-11-18,2010-11-18,8-K,a6516917.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752310006999/a6516917.htm
0000950123-10-112044,2010-12-08,2010-10-30,10-Q,d77600e10vq.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012310112044/d77600e10vq.htm
0001086364-10-010030,2010-12-09,,SC 13G/A,gamestop11302010.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000108636410010030/gamestop11302010.txt
0000950138-11-000016,2011-01-06,2011-01-06,8-K,jan8-k.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000016/jan8-k.htm
0001086364-11-000165,2011-01-10,,SC 13G/A,gamestopcorpnew123110.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000108636411000165/gamestopcorpnew123110.txt
0000950138-11-000064,2011-02-03,2011-02-01,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000064/xslF345X03/edgar.xml
0000950138-11-000089,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000089/xslF345X03/edgar.xml
0000950138-11-000088,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000088/xslF345X03/edgar.xml
0000950138-11-000087,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000087/xslF345X03/edgar.xml
0000950138-11-000086,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000086/xslF345X03/edgar.xml
0000950138-11-000085,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000085/xslF345X03/edgar.xml
0000950138-11-000084,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000084/xslF345X03/edgar.xml
0000950138-11-000083,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000083/xslF345X03/edgar.xml
0000950138-11-000082,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000082/xslF345X03/edgar.xml
0000950138-11-000081,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000081/xslF345X03/edgar.xml
0000950138-11-000080,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000080/xslF345X03/edgar.xml
0000950138-11-000079,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000079/xslF345X03/edgar.xml
0000950138-11-000077,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000077/xslF345X03/edgar.xml
0000950138-11-000076,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000076/xslF345X03/edgar.xml
0000950138-11-000075,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000075/xslF345X03/edgar.xml
0000950138-11-000074,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000074/xslF345X03/edgar.xml
0000950138-11-000073,2011-02-04,2011-02-02,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000073/xslF345X03/edgar.xml
0000861177-11-000011,2011-02-04,,SC 13G,gamestop_new.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000086117711000011/gamestop_new.txt
0001157523-11-000630,2011-02-04,2011-02-02,8-K,a6598294.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752311000630/a6598294.htm
0000950138-11-000092,2011-02-08,2011-02-08,8-K,feb8-k.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000092/feb8-k.htm
0000950138-11-000095,2011-02-09,2011-02-09,8-K,feb9-8k.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000095/feb9-8k.htm
0001085256-11-000015,2011-02-09,,SC 13G,gme13g.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000108525611000015/gme13g.txt
0000950138-11-000104,2011-02-10,2011-02-08,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000104/xslF345X03/edgar.xml
0000950138-11-000103,2011-02-10,2011-02-08,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000103/xslF345X03/edgar.xml
0000950138-11-000102,2011-02-10,2011-02-08,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000102/xslF345X03/edgar.xml
0000950138-11-000101,2011-02-10,2011-02-08,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000101/xslF345X03/edgar.xml
0000950138-11-000100,2011-02-10,2011-02-08,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000100/xslF345X03/edgar.xml
0000950138-11-000099,2011-02-10,2011-02-10,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000099/xslF345X03/edgar.xml
0000950138-11-000098,2011-02-10,2011-02-08,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000098/xslF345X03/edgar.xml
0000315066-11-002539,2011-02-14,,SC 13G,filing.txt,DOC ONE,https://www.sec.gov/Archives/edgar/data/1326380/000031506611002539/filing.txt
0001157523-11-001712,2011-03-24,2011-03-24,8-K,a6658391.htm,GAMESTOP CORP. 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000115752311001712/a6658391.htm
0000950123-11-030842,2011-03-30,2011-01-29,10-K,d80233e10vk.htm,FORM 10-K,https://www.sec.gov/Archives/edgar/data/1326380/000095012311030842/d80233e10vk.htm
0000950138-11-000216,2011-04-01,2011-04-01,8-K,mar31-8k.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000216/mar31-8k.htm
0000950138-11-000231,2011-04-08,2011-04-06,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000231/xslF345X03/edgar.xml
0000950138-11-000235,2011-04-13,2011-04-12,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000235/xslF345X03/edgar.xml
0000950138-11-000234,2011-04-13,2011-04-11,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000234/xslF345X03/edgar.xml
0000950138-11-000242,2011-04-22,2011-04-21,4,xslF345X03/edgar.xml,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000242/xslF345X03/edgar.xml
0000950138-11-000306,2011-05-16,2011-05-16,8-K,kriggio_v2.htm,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1326380/000095013811000306/kriggio_v2.htm
0000950123-11-050780,2011-05-16,2011-06-21,DEF 14A,d82027def14a.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/1326380/000095012311050780/d82027def14a.htm
